//Terrain Type,High detail texture,Medium Detail Texture,Low Detail Texture,Dust Type,MINIMAP_FILENAME,ZMIN,ZMAX,MOVETYPE,GRASS LAYER
# DbTerrainTexture_ = Arid,,,,,,,,,
AridDesertPlain,AridDesertPlain_Arid,AridDesertPlain_Arid,AridDesertPlain_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_desert_plain.bmp,0,0,kTerrainMoveType_Land,0
ForestRoots,ForestRoots_Arid,ForestRoots_Arid,ForestRoots_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_dirt.bmp,0,0,kTerrainMoveType_Land,0
ForestTop,ForestRoots_Arid,ForestRoots_Arid,ForestRoots_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_forest.bmp,0,0,kTerrainMoveType_Land,0
Riverbank,Riverbank_Arid,Riverbank_Arid,Riverbank_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_dirt.bmp,0,0,kTerrainMoveType_Land,0
AridDenseGrassPatch,AridDenseGrassPatch_Arid,AridDenseGrassPatch_Arid,AridDenseGrassPatch_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_dense_grass_patch.bmp,0,0,kTerrainMoveType_Land,0
AridGrass,AridGrass_Arid,AridGrass_Arid,AridGrass_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_grass.bmp,0,0,kTerrainMoveType_Land,0
AridLongDryGrass,AridLongDryGrass_Arid,AridLongDryGrass_Arid,AridLongDryGrass_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_longdry_grass.bmp,0,0,kTerrainMoveType_Land,0
AridFoundation,AridFoundation_Arid,AridFoundation_Arid,AridFoundation_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_dirt.bmp,0,0,kTerrainMoveType_Land,0
AridRippleDune,AridRippleDune_Arid,AridRippleDune_Arid,AridRippleDune_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_ripple_dune.bmp,0,0,kTerrainMoveType_Land,0
AridSageBrush,AridSageBrush_Arid,AridSageBrush_Arid,AridSageBrush_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_sage_brush.bmp,0,0,kTerrainMoveType_Land,0
AridDesertPlainCracked,AridDesertPlainCracked_Arid,AridDesertPlainCracked_Arid,AridDesertPlainCracked_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_cracked.bmp,0,0,kTerrainMoveType_Land,0
AridSparseGrass,AridSparseGrass_Arid,AridSparseGrass_Arid,AridSparseGrass_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_temperate_grass.bmp,0,0,kTerrainMoveType_Land,0
CoastalGrass01,CoastalGrass01_Arid,CoastalGrass01_Arid,CoastalGrass01_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_coastal_grass01_su.bmp,0,0,kTerrainMoveType_Land,0
CoastalGrass02,CoastalGrass02_Arid,CoastalGrass02_Arid,CoastalGrass02_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_coastal_grass02_su.bmp,0,0,kTerrainMoveType_Land,0
ShallowWater,ShallowWater_Arid,ShallowWater_Arid,ShallowWater_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_water_riverbed.bmp,0,0,kTerrainMoveType_River,0
Coastal,Coastal_Arid,Coastal_Arid,Coastal_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_water_riverbed.bmp,-2,0,kTerrainMoveType_Coast,0
UnderBuilding_1,UnderBuilding_1_Arid,UnderBuilding_1_Arid,UnderBuilding_1_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_grass.bmp,0,0,kTerrainMoveType_Land,0
UnderBuilding_2,UnderBuilding_2_Arid,UnderBuilding_2_Arid,UnderBuilding_2_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_grass.bmp,0,0,kTerrainMoveType_Land,0
UnderBuilding_3,UnderBuilding_3_Arid,UnderBuilding_3_Arid,UnderBuilding_3_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_grass.bmp,0,0,kTerrainMoveType_Land,0
