//Terrain Type,High detail texture,Medium Detail Texture,Low Detail Texture,Dust Type,MINIMAP_FILENAME,ZMIN,ZMAX,MOVETYPE,GRASS LAYER
# DbTerrainTexture_ = Tundra,,,,,,,,,
arcticsnow4,arctic_snow4,arctic_snow4,arctic_snow4,Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow ,terr_16_arctic_snow4.bmp,0,0,kTerrainMoveType_Land,0
arcticsnow5,arctic_snow5,arctic_snow5,arctic_snow5,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_snow5.bmp,0,0,kTerrainMoveType_Land,0
Cliff01,Cliff01_Temperate,Cliff01_Temperate,Cliff01_Temperate,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_temperate_cliff01.bmp,0,0,kTerrainMoveType_Cliff,0
CoastalArctic01,CoastalGrass01_Arctic,CoastalGrass01_Arctic,CoastalGrass01_Arctic,Snow Snow Snow Mud Mud Mud Sand Sand Sand Dirt Dirt Dirt ,terr_16_arctic_coastal.bmp,0,0,kTerrainMoveType_Land,0
CoastalArctic02,CoastalGrass02_Arctic,CoastalGrass02_Arctic,CoastalGrass02_Arctic,Snow Snow Snow Mud Mud Mud Sand Sand Sand Dirt Dirt Dirt ,terr_16_arctic_coastal.bmp,0,0,kTerrainMoveType_Land,0
CoastalArctic03,Saltgrass_Arctic,Saltgrass_Arctic,Saltgrass_Arctic,Snow Snow Snow Mud Mud Mud Sand Sand Sand Dirt Dirt Dirt ,terr_16_arctic_coastal.bmp,0,0,kTerrainMoveType_Land,0
Beach,Beach_Arctic,Beach_Arctic,Beach_Arctic,Snow Snow Snow Sand Sand Sand Sand Sand Sand Sand Sand Sand ,terr_16_arctic_coastal.bmp,0,1,kTerrainMoveType_Land,0
Riverbank,Riverbank_Temperate,Riverbank_Temperate,Riverbank_Temperate,Snow Snow Snow Sand Sand Sand Sand Sand Sand Sand Sand Sand, terr_16_actic_river.bmp,0,0,kTerrainMoveType_Land,0
RiverbankGrassy,RiverbankGrassy_Temperate,RiverbankGrassy_Temperate,RiverbankGrassy_Temperate,Snow Snow Snow Sand Sand Sand Sand Sand Sand Sand Sand Sand, terr_16_actic_river.bmp,0,0,kTerrainMoveType_Land,0
RiverbankPatchy,RiverbankPatchy_Temperate,RiverbankPatchy_Temperate,RiverbankPatchy_Temperate,Snow Snow Snow Sand Sand Sand Sand Sand Sand Sand Sand Sand, terr_16_actic_river.bmp,0,0,kTerrainMoveType_Land,0
ForestRoots,ForestRoots_Temperate,ForestRoots_Temperate,ForestRoots_Temperate,Snow Snow Snow Mud Mud Mud Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_arctic_under_tree.bmp,0,0,kTerrainMoveType_Land,0
ForestTop,ForestRoots_Temperate,ForestRoots_Temperate,ForestRoots_Temperate,Snow Snow Snow Mud Mud Mud Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_Forest.bmp,0,0,kTerrainMoveType_Land,0
UnderBuilding_1,UnderBuilding_1_Temperate,UnderBuilding_1_Temperate,UnderBuilding_1_Temperate,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_arctic_tundra_grass.bmp,0,0,kTerrainMoveType_Land,0
UnderBuilding_2,UnderBuilding_2_Temperate,UnderBuilding_2_Temperate,UnderBuilding_2_Temperate,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_arctic_tundra_grass.bmp,0,0,kTerrainMoveType_Land,0
UnderBuilding_3,UnderBuilding_3_Temperate,UnderBuilding_3_Temperate,UnderBuilding_3_Temperate,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_arctic_tundra_grass.bmp,0,0,kTerrainMoveType_Land,0
Space,Space,Space,Space,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_space.bmp,0,0,kTerrainMoveType_Mountain,0
