// NAME,DISPLAYNAME,TOOLTIP,EPOCH,SLOT,BRANCH,ICON,MENU,ROW,COLUMN,HOST,PRODUCE,UPGRADE,TIME,FOOD,WOOD,STONE,GOLD,TIN,IRON,SALTPETER,OIL,URANIUM,TECHPTS,TTCIV,PREREQUISITES,SPECFLAGS
AInavyBuilding,text_wonder_ME_01_name,,4,0,,,4,3,1,Citizen,AInavyBuilding,AInavyBuildingUpgradeEpoch4,40,0,100,100,100,0,0,0,0,0,0,,[],(None)

ArmyAcademy,text_CityCenter_name,,9,0,,,5,3,0,Citizen,ArmyAcademy,ArmyAcademyUpgradeEpoch9,60,0,500,500,500,0,0,0,0,0,0,,[],(None)
AirAcademy,text_CityCenter_name,,9,0,,,5,3,1,Citizen,AirAcademy,AirAcademyUpgradeEpoch9,60,0,500,500,500,0,0,0,0,0,0,,[],(None)
NavalAcademy,text_CityCenter_name,,9,0,,,5,3,2,Citizen,NavalAcademy,,60,0,500,500,500,0,0,0,0,0,0,,[],(None)

upAIunit_12,text_upArmoredCar_12_name,,12,4,Military,icon_tech_ArmoredCar12,0,3,0,AIResource1,,upAIunitSlot1_12,60,0,700,0,700,0,0,0,0,0,10,,[],(None)
upAIunit_13,text_upArmoredCar_13_name,,13,4,Military,icon_tech_ArmoredCar13,0,3,0,AIResource1,,upAIunitSlot1_13,60,0,700,0,700,0,0,0,0,0,10,,[],(None)
upAIunit_14,text_upArmoredCar_14_name,,14,4,Military,icon_tech_ArmoredCar14,0,3,0,AIResource1,,upAIunitSlot1_14,60,0,700,0,700,0,0,0,0,0,10,,[],(None)
upAIunit_15,text_upArmoredCar_15_name,,15,4,Military,icon_tech_ArmoredCar15,0,3,0,AIResource1,,upAIunitSlot1_15,60,0,700,0,700,0,0,0,0,0,10,,[],(None)

upAIfighter_12,text_upfighter_12_name,,12,4,Military,icon_tech_upfighter12,0,3,1,AIResource1,,upAIfighterSlot1_12,60,0,800,0,800,0,0,0,800,0,15,,[],(None)
upAIfighter_13,text_upfighter_13_name,,13,4,Military,icon_tech_upfighter13,0,3,1,AIResource1,,upAIfighterSlot1_13,60,0,800,0,800,0,0,0,800,0,15,,[],(None)
upAIfighter_14,text_upfighter_14_name,,14,4,Military,icon_tech_upfighter14,0,3,1,AIResource1,,upAIfighterSlot1_14,60,0,800,0,800,0,0,0,0,800,15,,[],(None)
upAIfighter_15,text_upfighter_15_name,,15,4,Military,icon_tech_upfighter15,0,3,1,AIResource1,,upAIfighterSlot1_15,60,0,800,0,800,0,0,0,0,800,15,,[],(None)

upAINaval_12,text_upFregatten_12_name,,12,4,Military,icon_tech_upFregatten12,0,3,2,AIResource1,,upAINavalSlot1_12,60,0,900,0,900,0,0,0,900,0,20,,[ ],(None)
upAINaval_13,text_upFregatten_13_name,,13,4,Military,icon_tech_upFregatten13,0,3,2,AIResource1,,upAINavalSlot1_13,60,0,900,0,900,0,0,0,900,0,20,,[ ],(None)
upAINaval_14,text_upFregatten_14_name,,14,4,Military,icon_tech_upFregatten14,0,3,2,AIResource1,,upAINavalSlot1_14,60,0,900,0,900,0,0,0,900,0,20,,[ ],(None)
upAINaval_15,text_upFregatten_15_name,,15,4,Military,icon_tech_upFregatten15,0,3,2,AIResource1,,upAINavalSlot1_15,60,0,900,0,900,0,0,0,900,0,20,,[ ],(None)

upArmoredCar_11,text_upArmoredCar_11_name,,11,4,Military,icon_tech_Stryker11,0,3,0,ArmyAcademy,,upArmoredCarSlot1_11,5,0,0,0,0,0,0,0,0,0,10,,[],(None)
upArmoredCar_12,text_upArmoredCar_12_name,,12,4,Improvement,icon_tech_ArmoredCar12,0,3,0,ArmyAcademy,,upArmoredCarSlot1_12,3,0,0,0,0,0,0,0,0,0,10,,[],(None)
upArmoredCar_13,text_upArmoredCar_13_name,,13,4,Improvement,icon_tech_ArmoredCar13,0,3,0,ArmyAcademy,,upArmoredCarSlot1_13,3,0,0,0,0,0,0,0,0,0,15,,[],(None)
upArmoredCar_14,text_upArmoredCar_14_name,,14,4,Improvement,icon_tech_ArmoredCar14,0,3,0,ArmyAcademy,,upArmoredCarSlot1_14,3,0,0,0,0,0,0,0,0,0,15,,[],(None)
upArmoredCar_15,text_upArmoredCar_15_name,,15,4,Improvement,icon_tech_ArmoredCar15,0,3,0,ArmyAcademy,,upArmoredCarSlot1_15,3,0,0,0,0,0,0,0,0,0,20,,[],(None)

upLightTnak_12,text_upLightTnak_12_name,,12,4,Improvement,icon_tech_M4Firefly,0,3,1,ArmyAcademy,,upLightTnakSlot1_12,4,0,0,0,0,0,0,0,0,0,15,,[upArmoredCar_12],(None)
upLightTnak_13,text_upLightTnak_13_name,,13,4,Improvement,icon_tech_M48A1,0,3,1,ArmyAcademy,,upLightTnakSlot1_13,4,0,0,0,0,0,0,0,0,0,20,,[upArmoredCar_13],(None)
upLightTnak_14,text_upLightTnak_14_name,,14,4,Improvement,icon_tech_M1A1,0,3,1,ArmyAcademy,,upLightTnakSlot1_14,4,0,0,0,0,0,0,0,0,0,25,,[upArmoredCar_14],(None)
upLightTnak_15,text_upLightTnak_14_name,,15,4,Improvement,icon_tech_RmidonTank,0,3,1,ArmyAcademy,,upLightTnakSlot1_15,4,0,0,0,0,0,0,0,0,0,30,,[upArmoredCar_15],(None)

upHeavyTank_12,text_upHeavyTank_12_name,,12,4,Improvement,icon_tech_uptigertank12,0,3,2,ArmyAcademy,,upHeavyTankSlot1_12,4,0,0,0,0,0,0,0,0,0,15,,[upLightTnak_12],(None)
upHeavyTank_13,text_upHeavyTank_13_name,,13,4,Improvement,icon_tech_upT72,0,3,2,ArmyAcademy,,upHeavyTankSlot1_13,4,0,0,0,0,0,0,0,0,0,20,,[upLightTnak_13],(None)
upHeavyTank_14,text_upHeavyTank_14_name,,14,4,Improvement,icon_tech_upM1A2,0,3,2,ArmyAcademy,,upHeavyTankSlot1_14,4,0,0,0,0,0,0,0,0,0,25,,[upLightTnak_14],(None)
upHeavyTank_15,text_upHeavyTank_15_name,,15,4,Improvement,icon_tech_upSciFiTankMk3,0,3,2,ArmyAcademy,,upHeavyTankSlot1_15,4,0,0,0,0,0,0,0,0,0,30,,[upLightTnak_15],(None)

upAirDefense_13,text_upAirDefense_13_name,,13,4,Improvement,icon_tech_AirDefense13,0,2,2,ArmyAcademy,,upAirDefenseSlot1_13,3,0,0,0,0,0,0,0,0,0,10,,[],(None)
upAirDefense_14,text_upAirDefense_14_name,,14,4,Improvement,icon_tech_AirDefense14,0,2,2,ArmyAcademy,,upAirDefenseSlot1_14,3,0,0,0,0,0,0,0,0,0,15,,[],(None)
upAirDefense_15,text_upAirDefense_15_name,,15,4,Improvement,icon_tech_AirDefense15,0,2,2,ArmyAcademy,,upAirDefenseSlot1_15,3,0,0,0,0,0,0,0,0,0,20,,[],(None)

upLightArtillery_12,text_upLightArtillery_12_name,,12,4,Improvement,icon_tech_upLightArtillery12,0,2,0,ArmyAcademy,,upLightArtillerySlot1_12,4,0,0,0,0,0,0,0,0,0,15,,[upArmoredCar_12],(None)
upLightArtillery_13,text_upLightArtillery_13_name,,13,4,Improvement,icon_tech_upLightArtillery13,0,2,0,ArmyAcademy,,upLightArtillerySlot1_13,4,0,0,0,0,0,0,0,0,0,20,,[upArmoredCar_13],(None)
upLightArtillery_14,text_upLightArtillery_14_name,,14,4,Improvement,icon_tech_upLightArtillery14,0,2,0,ArmyAcademy,,upLightArtillerySlot1_14,4,0,0,0,0,0,0,0,0,0,25,,[upArmoredCar_14],(None)
upLightArtillery_15,text_upLightArtillery_15_name,,15,4,Improvement,icon_tech_upLightArtillery15,0,2,0,ArmyAcademy,,upLightArtillerySlot1_15,4,0,0,0,0,0,0,0,0,0,30,,[upArmoredCar_15],(None)

upHeavyArtillery_12,text_upHeavyArtillery_12_name,,12,4,Improvement,icon_tech_upHeavyArtillery12,0,2,1,ArmyAcademy,,upHeavyArtillerySlot1_12,4,0,0,0,0,0,0,0,0,0,15,,[upLightArtillery_12],(None)
upHeavyArtillery_13,text_upHeavyArtillery_13_name,,13,4,Improvement,icon_tech_upHeavyArtillery13,0,2,1,ArmyAcademy,,upHeavyArtillerySlot1_13,4,0,0,0,0,0,0,0,0,0,20,,[upLightArtillery_13],(None)
upHeavyArtillery_14,text_upHeavyArtillery_14_name,,14,4,Improvement,icon_tech_upHeavyArtillery14,0,2,1,ArmyAcademy,,upHeavyArtillerySlot1_14,4,0,0,0,0,0,0,0,0,0,25,,[upLightArtillery_14],(None)
upHeavyArtillery_15,text_upHeavyArtillery_15_name,,15,4,Improvement,icon_tech_upHeavyArtillery15,0,2,1,ArmyAcademy,,upHeavyArtillerySlot1_15,4,0,0,0,0,0,0,0,0,0,25,,[upLightArtillery_15],(None)

upfighter_11,text_upfighter_11_name,,11,4,Military,icon_tech_upfighter11,0,3,0,AirAcademy,,upfighterSlot1_11,6,0,0,0,0,0,0,0,0,0,10,,[],(None)
upfighter_12,text_upfighter_12_name,,12,4,Improvement,icon_tech_upfighter12,0,3,0,AirAcademy,,upfighterSlot1_12,4,0,0,0,0,0,0,0,0,0,20,,[],(None)
upfighter_13,text_upfighter_13_name,,13,4,Improvement,icon_tech_upfighter13,0,3,0,AirAcademy,,upfighterSlot1_13,4,0,0,0,0,0,0,0,0,0,25,,[],(None)
upfighter_14,text_upfighter_14_name,,14,4,Improvement,icon_tech_upfighter14,0,3,0,AirAcademy,,upfighterSlot1_14,4,0,0,0,0,0,0,0,0,0,30,,[],(None)
upfighter_15,text_upfighter_15_name,,15,4,Improvement,icon_tech_upfighter15,0,3,0,AirAcademy,,upfighterSlot1_15,4,0,0,0,0,0,0,0,0,0,35,,[],(None)

upfighterbomber_12,text_upfighterbomber_12_name,,12,4,Improvement,icon_tech_upfighterbomber12,0,3,1,AirAcademy,,upfighterbomberSlot1_12,4,0,0,0,0,0,0,0,0,0,20,,[],(None)
upfighterbomber_13,text_upfighterbomber_13_name,,13,4,Improvement,icon_tech_upfighterbomber13,0,3,1,AirAcademy,,upfighterbomberSlot1_13,4,0,0,0,0,0,0,0,0,0,25,,[],(None)
upfighterbomber_14,text_upfighterbomber_14_name,,14,4,Improvement,icon_tech_upfighterbomber14,0,3,1,AirAcademy,,upfighterbomberSlot1_14,4,0,0,0,0,0,0,0,0,0,30,,[],(None)
upfighterbomber_15,text_upfighterbomber_15_name,,15,4,Improvement,icon_tech_upfighterbomber15,0,3,1,AirAcademy,,upfighterbomberSlot1_15,4,0,0,0,0,0,0,0,0,0,35,,[],(None)

upJ16_13,text_upJ16_13_name,,14,4,Military,icon_tech_upJ1613,0,2,3,ArmyAcademy,,upJ16Slot1_13,4,0,0,0,0,0,0,0,0,0,30,,[],(None)
upJ16_14,text_upJ16_14_name,,14,4,Improvement,icon_tech_upJ1614,0,3,2,AirAcademy,,upJ16Slot1_14,4,0,0,0,0,0,0,0,0,0,30,,[upfighter_14 upfighterbomber_14],(None)
upJ16_15,text_upJ16_15_name,,15,4,Improvement,icon_tech_upJ1615,0,2,1,AirAcademy,,upJ16Slot1_15,4,0,0,0,0,0,0,0,0,0,40,,[upfighter_15 upfighterbomber_15],(None)

upHelicopter_13,text_upHelicopter_13_name,,13,4,Military,icon_tech_upHelicopter13,0,2,0,AirAcademy,,upHelicopterSlot1_13,4,0,0,0,0,0,0,0,0,0,30,,[],(None)
upHelicopter_14,text_upHelicopter_14_name,,14,4,Improvement,icon_tech_upHelicopter14,0,2,0,AirAcademy,,upHelicopterSlot1_14,4,0,0,0,0,0,0,0,0,0,20,,[],(None)
upHelicopter_15,text_upHelicopter_15_name,,15,4,Improvement,icon_tech_upHelicopter15,0,2,0,AirAcademy,,upHelicopterSlot1_15,4,0,0,0,0,0,0,0,0,0,25,,[],(None)

upStealthPlane_14,text_upStealthPlane_name,,14,4,Military,icon_tech_upStealthPlane14,0,2,1,AirAcademy,,upStealthPlaneSlot1_14,6,0,0,0,0,0,0,0,0,0,40,,[upJ16_14],(None)
upMisslo_14,text_upMisslo14_name,,14,4,Military,icon_tech_upMisslo14,0,2,3,ArmyAcademy,,upMissloSlot1_14,8,0,0,0,0,0,0,0,0,0,50,,[upHeavyArtillery_14],(None)
//upNuclear_14,text_upNuclear_name,,14,4,Military,icon_tech_upnuclear,0,1,3,ArmyAcademy,,upNuclearSlot1_14,150,0,5000,0,5000,0,0,0,5000,0,80,,[upMisslo_14],(None)

upbomber_12,text_upbomber_12_name,,12,4,Improvement,icon_tech_upbomber12,0,3,3,AirAcademy,,upbomberSlot1_12,5,0,0,0,0,0,0,0,0,0,20,,[upfighter_12 upfighterbomber_12],(None)
upbomber_13,text_upbomber_13_name,,13,4,Improvement,icon_tech_upbomber13,0,3,3,AirAcademy,,upbomberSlot1_13,5,0,0,0,0,0,0,0,0,0,30,,[upfighter_13 upfighterbomber_13],(None)
upbomber_14,text_upbomber_14_name,,14,4,Improvement,icon_tech_upbomber14,0,3,3,AirAcademy,,upbomberSlot1_14,5,0,0,0,0,0,0,0,0,0,40,,[upfighter_14 upfighterbomber_14],(None)
upbomber_15,text_upbomber_15_name,,15,4,Improvement,icon_tech_upbomber15,0,3,3,AirAcademy,,upbomberSlot1_15,5,0,0,0,0,0,0,0,0,0,50,,[upfighter_15 upfighterbomber_15],(None)

upFregatten_11,text_upFregatten_11_name,,11,4,Military,icon_tech_upFregatten11,0,3,0,NavalAcademy,,upFregattenSlot1_11,5,0,0,0,0,0,0,0,0,0,15,,[ ],(None)
upFregatten_12,text_upFregatten_12_name,,12,4,Improvement,icon_tech_upFregatten12,0,3,0,NavalAcademy,,upFregattenSlot1_12,4,0,0,0,0,0,0,0,0,0,20,,[ ],(None)
upFregatten_13,text_upFregatten_13_name,,13,4,Improvement,icon_tech_upFregatten13,0,3,0,NavalAcademy,,upFregattenSlot1_13,4,0,0,0,0,0,0,0,0,0,25,,[ ],(None)
upFregatten_14,text_upFregatten_14_name,,14,4,Improvement,icon_tech_upFregatten14,0,3,0,NavalAcademy,,upFregattenSlot1_14,4,0,0,0,0,0,0,0,0,0,30,,[ ],(None)
upFregatten_15,text_upFregatten_15_name,,15,4,Improvement,icon_tech_upFregatten15,0,3,0,NavalAcademy,,upFregattenSlot1_15,4,0,0,0,0,0,0,0,0,0,40,,[ ],(None)

upDestroyer_12,text_upDestroyer_12_name,,12,4,Improvement,icon_tech_upDestroyer12,0,3,1,NavalAcademy,,upDestroyerSlot1_12,5,0,0,0,0,0,0,0,0,0,25,,[upFregatten_12],(None)
upDestroyer_13,text_upDestroyer_13_name,,13,4,Improvement,icon_tech_upDestroyer13,0,3,1,NavalAcademy,,upDestroyerSlot1_13,5,0,0,0,0,0,0,0,0,0,30,,[upFregatten_13],(None)
upDestroyer_14,text_upDestroyer_14_name,,14,4,Improvement,icon_tech_upDestroyer14,0,3,1,NavalAcademy,,upDestroyerSlot1_14,5,0,0,0,0,0,0,0,0,0,35,,[upFregatten_14],(None)
upDestroyer_15,text_upDestroyer_15_name,,15,4,Improvement,icon_tech_upDestroyer15,0,3,1,NavalAcademy,,upDestroyerSlot1_15,5,0,0,0,0,0,0,0,0,0,40,,[upFregatten_15],(None)

upBattleship_12,text_upBattleship_12_name,,12,4,Improvement,icon_tech_upBattleship12,0,3,2,NavalAcademy,,upBattleshipSlot1_12,6,0,0,0,0,0,0,0,0,0,30,,[upDestroyer_12],(None)
upBattleship_13,text_upBattleship_13_name,,13,4,Improvement,icon_tech_upBattleship13,0,3,2,NavalAcademy,,upBattleshipSlot1_13,6,0,0,0,0,0,0,0,0,0,35,,[upDestroyer_13],(None)
upBattleship_14,text_upBattleship_14_name,,14,4,Improvement,icon_tech_upBattleship14,0,3,2,NavalAcademy,,upBattleshipSlot1_14,6,0,0,0,0,0,0,0,0,0,40,,[upDestroyer_14],(None)
upBattleship_15,text_upBattleship_15_name,,15,4,Improvement,icon_tech_upBattleship15,0,3,2,NavalAcademy,,upBattleshipSlot1_15,6,0,0,0,0,0,0,0,0,0,45,,[upDestroyer_15],(None)

upVLSTech_14,text_upVLSTech_name,,14,4,Military,icon_unitpwr_VLS,0,2,2,NavalAcademy,,upVLSTechSlot1_14,4,0,0,0,0,0,0,0,0,0,15,,[upBattleship_14],(None)

////---------------------- yuanhang 8.09------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,
E2D,text_Fighter_11_name,,13,0,,,0,2,2,AircraftCarrier,E2D,,20,800,0,0,800,0,0,0,800,800,5,American,[],(None)
////---------------------- yuanhang 8.05------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,
F5Mexico,text_Fighter_11_name,,13,0,,,0,3,1,Airport,F5Mexico,,70,0,500,0,500,0,0,0,500,250,5,Mayan,[upHelicopter_13],(None)
jiqiangpika_Mexico,text_LightMounted1_11_name,,13,0,,,0,2,0,Stable,jiqiangpika_Mexico,,60,200,200,0,200,0,0,0,100,0,0,Mayan,[],(None)
huojianpika_Mexico,text_LightMounted1_11_name,,13,0,,,0,0,3,Mill,huojianpika_Mexico,,75,0,0,300,500,0,0,0,250,500,2,Mayan,[upHelicopter_13],(None)
gaopaopika_Mexico,text_LightMounted1_11_name,,13,0,,,0,0,2,Stable,gaopaopika_Mexico,,60,200,200,0,200,0,0,0,100,0,0,Mayan,[],(None)
jiqiangpika,text_LightMounted1_11_name,,13,0,,,0,2,0,Stable,jiqiangpika,,60,200,200,0,200,0,0,0,100,0,0,African,[],(None)
huojianpika,text_LightMounted1_11_name,,13,0,,,0,0,3,Mill,huojianpika,,75,0,0,300,500,0,0,0,250,500,2,African,[upHelicopter_13],(None)
gaopaopika,text_LightMounted1_11_name,,13,0,,,0,0,2,Stable,gaopaopika,,60,200,200,0,200,0,0,0,100,0,0,African,[],(None)

////---------------------- yuanhang 8.04------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,
F14Iran,text_Fighter_11_name,,14,0,,,1,3,0,Airport,F14Iran,,70,0,600,0,600,0,0,0,400,400,10,Babylonian,[upJ16_14],(None)
mig25irak,text_Fighter_11_name,,13,0,,,0,0,2,Airport,mig25irak,,70,0,500,0,500,0,0,0,500,200,5,Babylonian,[upHelicopter_13],(None)
F4Iran,text_Fighter_11_name,,13,0,,,0,3,1,Airport,F4Iran,,70,0,500,0,500,0,0,0,500,200,5,Babylonian,[upHelicopter_13],(None)
Kilo_Iran,text_Submarine_11_name,,13,0,,,0,2,0,Dock,Kilo_Iran,,80,0,1100,0,950,0,0,0,1000,1100,2,Babylonian,[],(None)
////---------------------- yuanhang 8.01-03 ------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,
F4Turcey,text_Fighter_11_name,,13,0,,,1,3,0,Airport,F4Turcey,,70,0,500,0,500,0,0,0,350,500,10,Turkish,[upHelicopter_13],(None)
F5Turkey,text_Fighter_11_name,,13,0,,,1,3,2,Airport,F5Turkey,,70,0,500,0,500,0,0,0,500,200,4,Turkish,[upHelicopter_13],(None)
SA9Irak,text_SA9_name,,13,0,,,0,2,1,Mill,SA9Irak,,70,0,500,0,500,0,0,0,500,200,1,MiddleEast,[],(None)
T300,text_SA9_name,,14,0,,,0,2,0,Mill,T300,,85,0,0,400,600,0,0,0,300,600,5,MiddleEast,[upHeavyArtillery_14],(None)

// ---------------------- yuanhang 8.0 ------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,
//075型两栖攻击舰
Type075,text_Destroyer_11_name,,13,0,,,1,1,3,Dock,Type075,,100,400,1500,0,1500,0,0,0,1500,1500,5,Chinese,[],(None)
moskva_Heliport,text_Destroyer_11_name,,13,0,,,1,1,3,Dock,moskva_Heliport,,100,400,1500,0,1500,0,0,0,1500,1500,5,Russian,[],(None)
China_yun8,text_Fighter_11_name,,13,0,,,0,1,3,Airport,China_yun8,,70,450,0,0,550,0,0,0,250,550,5,Chinese,[upHelicopter_13],(None)
yun20,text_Fighter_11_name,,13,0,,,0,1,1,Airport,yun20,,60,600,0,0,600,0,0,0,600,600,10,Chinese,[],(None)
IL78,text_Fighter_11_name,,13,0,,,0,1,1,Airport,IL78,,60,600,0,0,600,0,0,0,600,600,10,Russian,[],(None)
//yun8,text_Fighter_11_name,,13,0,,,0,1,1,Airport,yun8,,55,150,0,0,200,0,0,0,200,0,0,Chinese,[],(None)
KJ2000,text_E3_name,,13,0,,,0,1,2,Airport,KJ2000,KJ2000UpgradeEpoch13,0,0,0,0,0,0,0,0,0,0,20,Chinese,[upHelicopter_13],(None)
A100,text_E3_name,,13,0,,,0,1,2,Airport,A100,,100,0,1000,0,1000,0,0,0,1000,1000,20,Russian,[upHelicopter_13],(None)

//lijian,text_Fighter_11_name,,14,0,,,1,0,3,Airport,lijian,,80,0,900,0,900,0,0,0,900,900,10,Chinese,[],(None)
//X47,text_Fighter_11_name,,14,0,,,1,0,3,Airport,X47,,80,0,900,0,900,0,0,0,900,900,10,,[],(None)
//predator2,text_Fighter_11_name,,13,0,,,1,0,3,Airport,predator2,,80,0,500,0,500,0,0,0,500,500,2,,[],(None)

//new Boat
kiev,text_Destroyer_11_name,,13,0,,,0,1,3,Dock,kiev,,120,0,2000,0,2000,0,0,0,2000,2000,1,Russian,[],(None)
electronicBoat,text_Destroyer_11_name,,13,0,,,1,1,2,Dock,electronicBoat,,100,0,2000,0,2000,0,0,0,2000,2000,10,,[],(None)
SupportShip15,text_Destroyer_11_name,,15,0,,,1,1,1,Dock,SupportShip15,,100,0,1000,0,1000,0,0,0,1000,1000,5,,[],(None)
SupportShip,text_Destroyer_11_name,,13,0,,,1,1,1,Dock,SupportShip,,100,0,1000,0,1000,0,0,0,1000,1000,5,,[],(None)

//13-14驱逐舰 護衛艦
Ch054A,text_Destroyer_11_name,,11,0,,,0,2,2,Dock,Ch054A,Ch054AUpgradeEpoch11,80,800,800,800,800,0,0,0,0,0,2,Chinese,[],(None)
Ch052d,text_Destroyer_11_name,,11,0,,,0,0,2,Dock,Ch052d,Ch052dUpgradeEpoch11,100,0,1000,0,1000,0,0,0,1000,1000,5,Chinese,[upFregatten_11],(None)
Ch055,text_Battleship_11_name,,11,0,,,0,2,1,Dock,Ch055,Ch055UpgradeEpoch11,120,0,2000,0,2000,0,0,0,2000,2000,10,Chinese,[upFregatten_11],(None)
//Destroyer055,text_Battleship_11_name,,11,0,,,0,2,1,Dock,Destroyer055,Destroyer055UpgradeEpoch11,100,0,1500,0,1500,0,0,0,1500,1500,3,Chinese,[],(None)
Ch055A,text_Battleship_11_name,,11,0,,,0,0,3,Dock,Ch055A,Ch055AUpgradeEpoch11,110,3000,4500,0,4500,0,0,0,4500,4500,100,Chinese,[upFregatten_11],(None)
Type003,text_AircraftCarrier_11_name,,14,0,,,0,1,3,Dock,Type003,,130,0,5000,0,5000,0,0,0,5000,5000,10,Chinese,[],(None)

Type22350,text_Destroyer_11_name,,11,0,,,0,2,2,Dock,Type22350,Type22350UpgradeEpoch11,80,800,800,800,800,0,0,0,0,0,2,Russian,[],(None)
DestroyerLeader,text_Destroyer_11_name,,11,0,,,0,0,2,Dock,DestroyerLeader,DestroyerLeaderUpgradeEpoch11,110,3000,4500,0,4500,0,0,0,4500,4500,100,Russian,[upFregatten_11],(None)
Cruiser1164,text_Battleship_11_name,,11,0,,,0,0,3,Dock,Cruiser1164,Cruiser1164UpgradeEpoch11,110,0,1500,0,1500,0,0,0,1500,1500,50,Russian,[upFregatten_11],(None)
kirov,text_Battleship_11_name,,11,0,,,0,2,1,Dock,kirov,kirovUpgradeEpoch11,120,0,2000,0,2000,0,0,0,2000,2000,10,Russian,[upFregatten_11],(None)
//Russkirov,text_Battleship_11_name,,11,0,,,0,2,1,Dock,Russkirov,RusskirovUpgradeEpoch11,110,0,2000,0,2000,0,0,0,2000,2000,5,Russian,[],(None)
//missboat,text_Battleship_11_name,,13,0,,,1,3,0,Dock,missboat,,60,600,600,600,600,0,0,0,0,0,0,Russian,[],(None)

Ticonderoga,text_Battleship_11_name,,11,0,,,0,2,1,Dock,Ticonderoga,TiconderogaUpgradeEpoch11,120,0,2000,0,2000,0,0,0,2000,2000,10,American,[upFregatten_11],(None)
//Ticonderoga14,text_Battleship_11_name,,14,0,,,0,2,1,Dock,Ticonderoga14,Ticonderoga14UpgradeEpoch11,120,0,2000,0,2000,0,0,0,2000,2000,5,American,[],(None)
DDG123,text_Destroyer_11_name,,11,0,,,0,0,2,Dock,DDG123,DDG123UpgradeEpoch11,100,0,1000,0,1000,0,0,0,1000,1000,5,American,[upFregatten_11],(None)
DDG1001,text_Battleship_11_name,,11,0,,,0,0,3,Dock,DDG1001,DDG1001UpgradeEpoch11,110,3000,4500,0,4500,0,0,0,4500,4500,100,American,[upFregatten_11],(None)
FregattenFFG,text_Destroyer_11_name,,11,0,,,0,2,2,Dock,FregattenFFG,FregattenFFGUpgradeEpoch11,80,800,800,800,800,0,0,0,0,0,2,American,[],(None)

