// UPGRADE,UNIT,TYPE,EPOCH,HP,LOS,DAMAGE,RANGE,RELOAD,BUILDTIME,FOOD,WOOD,STONE,GOLD,TIN,IRON,SALTPETER,OIL,URANIUM,DISPLAYNAME,DISPLAYNAME,VISUAL,UI VISUAL,ICON,MMCOLOR,POP CAPACITY,FULLMAP,TOOLTIP,SNDSEL,SNDMOVE,SNDATTACK,SNDDEATH,UPGRADEREFS,CIV
HeavyInfantry1UpgradeEpoch5,HeavyInfantry1,"""Unit""",5,260,5,17,1.2,1.5,37,39,0,0,29,0,14,0,0,0,tx_utn_hvyInf1_e5_name,tx_utn_hvyInf1_e5_pname,HeavyInfantry1_05,,icon_unit_manatarms,[0 0 0 0],0,0,vtt_unit_manatarms,[v_HeavyInfantry1_05_sel01],[v_HeavyInfantry1_05_spe01 v_HeavyInfantry1_05_com01 v_HeavyInfantry1_05_com02],[v_HeavyInfantry1_05_spe01 v_HeavyInfantry1_05_com01 v_HeavyInfantry1_05_com02],[],[HeavyInfantry_Improve_Reset HeavyInfantry1Epoch5Attack],All
HeavyInfantry1UpgradeEpoch7,HeavyInfantry1,"""Unit""",7,270,8,19,7,2.5,37,44,0,0,30,0,0,19,0,0,tx_utn_hvyInf1_e7_name,tx_utn_hvyInf1_e7_pname,HeavyInfantry1_07,,icon_unit_musketeer,[0 0 0 0],0,0,vtt_unit_musketeer,[v_HeavyInfantry1_07_sel01],[v_HeavyInfantry1_07_spe01 v_HeavyInfantry1_07_com01 v_HeavyInfantry1_07_com02],[v_HeavyInfantry1_07_spe01 v_HeavyInfantry1_07_com01 v_HeavyInfantry1_07_com02],[],[HeavyInfantry_Improve_Reset HeavyInfantry1Epoch7Attack],All
HeavyInfantry1UpgradeEpoch9,HeavyInfantry1,"""Unit""",9,280,9,22,8,2.5,37,45,0,0,31,0,0,21,0,0,tx_utn_hvyInf1_e9_name,tx_utn_hvyInf1_e9_pname,HeavyInfantry1_09,,icon_unit_regular,[0 0 0 0],0,0,vtt_unit_regular,[v_HeavyInfantry1_09_sel01],[v_HeavyInfantry1_09_spe01 v_HeavyInfantry1_09_com01 v_HeavyInfantry1_09_com02],[v_HeavyInfantry1_09_spe01 v_HeavyInfantry1_09_spe01 v_HeavyInfantry1_09_com01 v_HeavyInfantry1_09_com02],[],[HeavyInfantry_Improve_Reset HeavyInfantry1Epoch9Attack],All
HeavyInfantry1UpgradeEpoch11,HeavyInfantry1,"""Unit""",11,340,11,20,11,1,45,55,0,0,50,0,0,0,10,0,tx_utn_hvyInf2_e11_name,tx_utn_hvyInf2_e11_pname,HeavyInfantry2_11,,icon_unit_machinegunner,[0 0 0 0],0,0,vtt_unit_machinegunner,[v_HeavyInfantry1_11_sel01],[v_HeavyInfantry1_11_com01 v_HeavyInfantry1_11_com02 v_HeavyInfantry1_11_spe01],[v_HeavyInfantry1_11_com01 v_HeavyInfantry1_11_com02 v_HeavyInfantry1_11_spe01],[],[HeavyInfantry_Improve_Reset HeavyInfantry2Epoch11Attack],All
HeavyInfantry1UpgradeEpoch13,HeavyInfantry1,"""Unit""",13,600,13,20,13,0.5,45,24,0,0,20,0,0,0,4,0,tx_utn_hvyInf2_e11_name,tx_utn_hvyInf2_e11_pname,HeavyInfantry2_14,,icon_unit_minigunner,[0 0 0 0],0,0,vtt_unit_minigunner,[v_HeavyInfantry1_13_sel01],[v_HeavyInfantry1_13_com01 v_HeavyInfantry1_13_com02 v_HeavyInfantry1_13_spe01],[v_HeavyInfantry1_13_com01 v_HeavyInfantry1_13_com02 v_HeavyInfantry1_13_spe01],[],[HeavyInfantry_Improve_Reset HeavyInfantry2Epoch14Attack],All
HeavyInfantry1UpgradeEpoch15,HeavyInfantry1,"""Unit""",15,450,14,22,14,0.5,45,65,0,0,50,0,0,0,10,0,tx_utn_hvyInf2_e14_name,tx_utn_LightInf_e15_pname,HeavyInfantry2_14,,icon_unit_minigunner,[0 0 0 0],0,0,vtt_unit_minigunner,[v_HeavyInfantry1_15_sel01],[v_HeavyInfantry1_15_com01 v_HeavyInfantry1_15_com02 v_HeavyInfantry1_15_spe01],[v_HeavyInfantry1_15_com01 v_HeavyInfantry1_15_com02 v_HeavyInfantry1_15_spe01],[],[HeavyInfantry_Improve_Reset HeavyInfantry2Epoch14Attack],All
HeavyInfantry2UpgradeEpoch1,HeavyInfantry2,"""Unit""",1,235,5,11,1.3,2,40,0,35,0,25,15,0,0,0,0,tx_utn_hvyInf2_e2_name,tx_utn_hvyInf2_e2_pname,HeavyInfantry2_02,,icon_unit_spearman,[0 0 0 0],0,0,vtt_unit_spearman,[v_HeavyInfantry2_02_sel01],[v_HeavyInfantry2_02_com01 v_HeavyInfantry2_02_com02 v_HeavyInfantry2_02_spe01],[v_HeavyInfantry2_02_com01 v_HeavyInfantry2_02_com02 v_HeavyInfantry2_02_spe01],[],[HeavyInfantry_Improve_Reset HeavyInfantry2Epoch2Attack],All
HeavyInfantry2UpgradeEpoch2,HeavyInfantry2,"""Unit""",2,255,5,13,1.3,2,40,0,35,0,25,15,0,0,0,0,tx_utn_hvyInf2_e2_name,tx_utn_hvyInf2_e2_pname,HeavyInfantry2_02,,icon_unit_spearman,[0 0 0 0],0,0,vtt_unit_spearman,[v_HeavyInfantry2_02_sel01],[v_HeavyInfantry2_02_com01 v_HeavyInfantry2_02_com02 v_HeavyInfantry2_02_spe01],[v_HeavyInfantry2_02_com01 v_HeavyInfantry2_02_com02 v_HeavyInfantry2_02_spe01],[],[HeavyInfantry_Improve_Reset HeavyInfantry2Epoch2Attack],All
HeavyInfantry2UpgradeEpoch5,HeavyInfantry2,"""Unit""",5,305,5,17,1.3,2,40,0,39,0,29,0,19,0,0,0,tx_utn_hvyInf2_e5_name,tx_utn_hvyInf2_e5_pname,HeavyInfantry2_05,,icon_unit_pikeman,[0 0 0 0],0,0,vtt_unit_pikeman,[v_HeavyInfantry2_05_sel01],[v_HeavyInfantry2_05_com01 v_HeavyInfantry2_05_com02 v_HeavyInfantry2_05_spe01],[v_HeavyInfantry2_05_com01 v_HeavyInfantry2_05_com02 v_HeavyInfantry2_05_spe01],[],[HeavyInfantry_Improve_Reset HeavyInfantry2Epoch5Attack],All
HeavyInfantry2UpgradeEpoch8,HeavyInfantry2,"""Unit""",8,335,5,25,1.3,2,40,0,44,0,30,0,0,22,0,0,tx_utn_hvyInf2_e8_name,tx_utn_hvyInf2_e8_pname,HeavyInfantry2_08,,icon_unit_halberdier,[0 0 0 0],0,0,vtt_unit_halberdier,[v_HeavyInfantry2_08_sel01],[v_HeavyInfantry2_08_com01 v_HeavyInfantry2_08_com02 v_HeavyInfantry2_08_spe01],[v_HeavyInfantry2_08_com01 v_HeavyInfantry2_08_com02 v_HeavyInfantry2_08_spe01],[],[HeavyInfantry_Improve_Reset HeavyInfantry2Epoch8Attack],All
HeavyInfantry2UpgradeEpoch11,HeavyInfantry2,"""Unit""",11,350,11,135,11,6,50,0,92,0,165,0,0,100,0,0,tx_utn_LightInf_e11_name,tx_utn_LightInf_e11_pname,LightInfantry_11,,icon_unit_mortarman,[0 0 0 0],0,0,vtt_unit_mortar,[v_HeavyInfantry2_11_sel01],[v_HeavyInfantry2_11_com01 v_HeavyInfantry2_11_com02 v_HeavyInfantry2_11_spe01],[v_HeavyInfantry2_11_spe01],[],[HeavyInfantry_Improve_Reset LightInfantryEpoch11Attack],All
HeavyInfantry2UpgradeEpoch14,HeavyInfantry2,"""Unit""",13,608,13,155,13,6,50,0,38,0,68,0,0,0,40,0,tx_utn_LightInf_e13_name,tx_utn_LightInf_e13_pname,LightInfantry_13,,icon_unit_incendiarymortar,[0 0 0 0],0,0,vtt_unit_incendiarymortar,[v_HeavyInfantry2_14_sel01],[v_HeavyInfantry2_14_com01 v_HeavyInfantry2_14_com02 v_HeavyInfantry2_14_spe01],[v_HeavyInfantry2_14_spe01],[],[HeavyInfantry_Improve_Reset LightInfantryEpoch13Attack],All
HeavyInfantry2UpgradeEpoch15,HeavyInfantry2,"""Unit""",15,450,14,175,14,6,50,0,94,0,170,0,0,0,100,0,tx_utn_LightInf_e15_name,tx_utn_LightInf_e15_pname,LightInfantry_15,,icon_unit_bombletmortar,[0 0 0 0],0,0,vtt_unit_bombletmortar,[v_HeavyInfantry2_14_sel01],[v_HeavyInfantry2_14_com01 v_HeavyInfantry2_14_com02 v_HeavyInfantry2_14_spe01],[v_HeavyInfantry2_14_spe01],[],[HeavyInfantry_Improve_Reset LightInfantryEpoch15Attack],All
LightArtillery1UpgradeEpoch1,LightArtillery1,"""Unit""",1,435,6,110,6,3,68,150,250,0,0,250,0,0,0,0,tx_utn_LightArt1_e1_name,tx_utn_LightArt1_e1_pname,LightArtillery1_01,,icon_unit_stonethrower,[0 0 0 0],0,0,vtt_unit_stonethrower,[v_LightArtillery1_01_sel01],[v_LightArtillery1_01_com01 v_LightArtillery1_01_com02],[v_LightArtillery1_01_com01 v_LightArtillery1_01_com02 v_LightArtillery1_01_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch1Attack],All
LightArtillery1UpgradeEpoch3,LightArtillery1,"""Unit""",3,485,7,120,7,3,68,160,260,0,0,260,0,0,0,0,tx_utn_LightArt1_e3_name,tx_utn_LightArt1_e3_pname,LightArtillery1_03,,icon_unit_scorpion,[0 0 0 0],0,0,vtt_unit_scorpion,[v_LightArtillery1_03_sel01],[v_LightArtillery1_03_com01 v_LightArtillery1_03_com02],[v_LightArtillery1_03_com01 v_LightArtillery1_03_com02 v_LightArtillery1_03_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch3Attack],All
LightArtillery1UpgradeEpoch5,LightArtillery1,"""Unit""",5,535,8,130,8,3,68,170,270,0,0,270,0,0,0,0,tx_utn_LightArt1_e5_name,tx_utn_LightArt1_e5_pname,LightArtillery1_05,,icon_unit_ballista,[0 0 0 0],0,0,vtt_unit_ballista,[v_LightArtillery1_05_sel01],[v_LightArtillery1_05_com01 v_LightArtillery1_05_com02],[v_LightArtillery1_05_com01 v_LightArtillery1_05_com02 v_LightArtillery1_05_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch5Attack],All
LightArtillery1UpgradeEpoch7,LightArtillery1,"""Unit""",7,585,8,140,9,3,68,180,280,0,0,0,280,280,0,0,tx_utn_LightArt1_e7_name,tx_utn_LightArt1_e7_pname,LightArtillery1_07,,icon_unit_culverin,[0 0 0 0],0,0,vtt_unit_culverin,[v_LightArtillery1_07_sel01],[v_LightArtillery1_07_com01 v_LightArtillery1_07_com02],[v_LightArtillery1_07_com01 v_LightArtillery1_07_com02 v_LightArtillery1_07_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch7Attack],All
LightArtillery1UpgradeEpoch9,LightArtillery1,"""Unit""",9,635,10,150,10,3,68,200,300,0,0,0,300,300,0,0,tx_utn_LightArt1_e9_name,tx_utn_LightArt1_e9_pname,LightArtillery1_09,,icon_unit_fieldgun,[0 0 0 0],0,0,vtt_unit_fieldgun,[v_LightArtillery1_09_sel01],[v_LightArtillery1_09_com01 v_LightArtillery1_09_com02],[v_LightArtillery1_09_com01 v_LightArtillery1_09_com02 v_LightArtillery1_09_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch9Attack],All
LightArtillery1UpgradeEpoch11,LightArtillery1,"""Unit""",11,1760,12,165,12,3,70,320,530,0,0,0,0,300,530,0,tx_utn_LightArt1_e11_name,tx_utn_LightArt1_e11_pname,LightArtillery1_11,,icon_unit_French75,[0 0 0 0],0,0,vtt_unit_fieldartillery,[v_LightArtillery1_11_sel01],[v_LightArtillery1_11_com01 v_LightArtillery1_11_com02],[v_LightArtillery1_11_com01 v_LightArtillery1_11_com02 v_LightArtillery1_11_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch11Attack],All
LightArtillery1UpgradeEpoch12,LightArtillery1,"""Unit""",12,2300,13,245,13,3,70,320,530,0,0,0,0,300,530,0,tx_utn_LightArt1_e12_name,tx_utn_LightArt1_e12_pname,LightArtillery1_12,,icon_unit_TankDestroyer,[0 0 0 0],0,0,vtt_unit_TankDestroyer,[v_LightArtillery1_13_sel01],[v_LightArtillery1_13_com01 v_LightArtillery1_13_com02],[v_LightArtillery1_13_com01 v_LightArtillery1_13_com02 v_LightArtillery1_13_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch12Attack],All
LightArtillery1UpgradeEpoch13,LightArtillery1,"""Unit""",13,2800,14,270,14,3,70,320,530,0,0,0,0,0,300,530,tx_utn_LightArt1_e13_name,tx_utn_LightArt1_e13_pname,LightArtillery1_13,,icon_unit_RPGStriker,[0 0 0 0],0,0,vtt_unit_RPGStriker,[v_LightArtillery1_13_sel01],[v_LightArtillery1_13_com01 v_LightArtillery1_13_com02],[v_LightArtillery1_13_com01 v_LightArtillery1_13_com02 v_LightArtillery1_13_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch13Attack],All
LightArtillery1UpgradeEpoch14,LightArtillery1,"""Unit""",14,3850,15,335,15,3,70,320,530,0,0,0,0,0,300,530,tx_utn_LightArt1_e13_name,tx_utn_LightArt1_e13_pname,LightArtillery1_13,,icon_unit_RPGStriker,[0 0 0 0],0,0,vtt_unit_RPGStriker,[v_LightArtillery1_13_sel01],[v_LightArtillery1_13_com01 v_LightArtillery1_13_com02],[v_LightArtillery1_13_com01 v_LightArtillery1_13_com02 v_LightArtillery1_13_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch13Attack],All
LightArtillery1UpgradeEpoch15,LightArtillery1,"""Unit""",15,4250,16,415,16,3,70,320,530,0,0,0,0,0,300,530,tx_utn_LightArt1_e15_name,tx_utn_LightArt1_e15_pname,LightArtillery1_15,,icon_unit_fusioncaster,[0 0 0 0],0,0,vtt_unit_fusioncaster,[v_LightArtillery1_15_sel01],[v_LightArtillery1_15_com01 v_LightArtillery1_15_com02],[v_LightArtillery1_15_com01 v_LightArtillery1_15_com02 v_LightArtillery1_15_spe01],[],[LightArtillery_Improve_Reset LightArtillery1Epoch15Attack],All
LightArtillery2UpgradeEpoch1,LightArtillery2,"""Unit""",1,370,10,30,9,1,40,170,0,0,145,0,0,0,150,0,tx_utn_LightArt2_e11_name,tx_utn_LightArt2_e11_pname,LightArtillery2_11,,icon_unit_aahalftrack,[0 0 0 0],0,0,vtt_unit_AAHalfTrack,[v_LightArtillery2_11_sel01],[v_LightArtillery2_11_com01 v_LightArtillery2_11_com02],[v_LightArtillery2_11_com01 v_LightArtillery2_11_com02 v_LightArtillery2_11_spe01],[],[LightArtillery_Improve_Reset LightArtillery2Epoch11Attack],All
LightArtillery2UpgradeEpoch11,LightArtillery2,"""Unit""",11,1500,16,45,15,0.2,70,350,0,0,450,0,0,0,450,0,tx_utn_LightArt2_e11_name,tx_utn_LightArt2_e11_pname,LightArtillery2_11,,icon_unit_aahalftrack,[0 0 0 0],0,0,vtt_unit_AAHalfTrack,[v_LightArtillery2_11_sel01],[v_LightArtillery2_11_com01 v_LightArtillery2_11_com02],[v_LightArtillery2_11_com01 v_LightArtillery2_11_com02 v_LightArtillery2_11_spe01],[],[LightArtillery_Improve_Reset LightArtillery2Epoch11Attack],All
LightArtillery2UpgradeEpoch13,LightArtillery2,"""Unit""",13,2550,24,500,20,2,70,400,0,0,500,0,0,0,0,500,tx_utn_LightArt2_e13_name,tx_utn_LightArt2_e13_pname,LightArtillery2_13,,icon_unit_stingerhumvee,[0 0 0 0],0,0,vtt_unit_stingerhumvee,[v_LightArtillery2_13_sel01],[v_LightArtillery2_13_com01 v_LightArtillery2_13_com02],[v_LightArtillery2_13_com01 v_LightArtillery2_13_com02 v_LightArtillery2_13_spe01],[],[LightArtillery_Improve_Reset LightArtillery2Epoch13Attack],All
LightArtillery2UpgradeEpoch14,LightArtillery2,"""Unit""",14,2920,25,545,23,2,70,400,0,0,500,0,0,0,0,500,tx_utn_LightArt2_e13_name,tx_utn_LightArt2_e13_pname,LightArtillery2_13,,icon_unit_stingerhumvee,[0 0 0 0],0,0,vtt_unit_stingerhumvee,[v_LightArtillery2_13_sel01],[v_LightArtillery2_13_com01 v_LightArtillery2_13_com02],[v_LightArtillery2_13_com01 v_LightArtillery2_13_com02 v_LightArtillery2_13_spe01],[],[LightArtillery_Improve_Reset LightArtillery2Epoch13Attack],All
LightArtillery2UpgradeEpoch15,LightArtillery2,"""Unit""",15,3400,26,582,25,2,70,400,0,0,500,0,0,0,0,500,tx_utn_LightArt2_e15_name,tx_utn_LightArt2_e15_pname,LightArtillery2_15,,icon_unit_PaladinPointDefense,[0 0 0 0],0,0,vtt_unit_PaladinPointDefense,[v_LightArtillery2_15_sel01],[v_LightArtillery2_15_com01 v_LightArtillery2_15_com02],[v_LightArtillery2_15_com01 v_LightArtillery2_15_com02 v_LightArtillery2_15_spe01],[],[LightArtillery_Improve_Reset LightArtillery2Epoch15Attack],All
HeavyArtilleryUpgradeEpoch1,HeavyArtillery,"""Unit""",1,100,7,190,10,12,70,0,300,0,300,300,0,0,0,0,tx_utn_heavyArt2_name,tx_utn_heavyArt2_pname,HeavyArtillery_02,,icon_unit_onager,[0 0 0 0],0,0,vtt_unit_Onager,[v_HeavyArtillery_02_sel01],[v_HeavyArtillery_02_com01 v_HeavyArtillery_02_com02],[v_HeavyArtillery_02_com01 v_HeavyArtillery_02_com02 v_HeavyArtillery_02_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch2Attack],All
HeavyArtilleryUpgradeEpoch2,HeavyArtillery,"""Unit""",2,110,8,210,11,12,70,0,320,0,320,320,0,0,0,0,tx_utn_heavyArt2_name,tx_utn_heavyArt2_pname,HeavyArtillery_02,,icon_unit_onager,[0 0 0 0],0,0,vtt_unit_Onager,[v_HeavyArtillery_02_sel01],[v_HeavyArtillery_02_com01 v_HeavyArtillery_02_com02],[v_HeavyArtillery_02_com01 v_HeavyArtillery_02_com02 v_HeavyArtillery_02_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch2Attack],All
HeavyArtilleryUpgradeEpoch4,HeavyArtillery,"""Unit""",4,140,9,230,12,12,70,0,340,240,102,0,340,0,0,0,tx_utn_heavyArt4_name,tx_utn_heavyArt4_pname,HeavyArtillery_04,,icon_unit_catapult,[0 0 0 0],0,0,vtt_unit_Catapult,[v_HeavyArtillery_04_sel01],[v_HeavyArtillery_04_com01 v_HeavyArtillery_04_com02],[v_HeavyArtillery_04_com01 v_HeavyArtillery_04_com02 v_HeavyArtillery_04_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch4Attack],All
HeavyArtilleryUpgradeEpoch6,HeavyArtillery,"""Unit""",6,170,10,250,13,12,70,0,360,260,108,0,360,0,0,0,tx_utn_heavyArt6_name,tx_utn_heavyArt6_pname,HeavyArtillery_06,,icon_unit_trebuchet,[0 0 0 0],0,0,vtt_unit_Trebuchet,[v_HeavyArtillery_06_sel01],[v_HeavyArtillery_06_com01 v_HeavyArtillery_06_com02],[v_HeavyArtillery_06_com01 v_HeavyArtillery_06_com02 v_HeavyArtillery_06_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch6Attack],All
HeavyArtilleryUpgradeEpoch8,HeavyArtillery,"""Unit""",8,200,11,270,14,12,70,0,500,300,120,0,0,400,0,0,tx_utn_heavyArt8_name,tx_utn_heavyArt8_pname,HeavyArtillery_08,,icon_unit_BombardCannon,[0 0 0 0],0,0,vtt_unit_BombardCannon,[v_HeavyArtillery_08_sel01],[v_HeavyArtillery_08_com01 v_HeavyArtillery_08_com02],[v_HeavyArtillery_08_com01 v_HeavyArtillery_08_com02 v_HeavyArtillery_08_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch8Attack],All
HeavyArtilleryUpgradeEpoch10,HeavyArtillery,"""Unit""",10,255,12,280,15,12,80,0,500,300,120,0,0,0,400,0,tx_utn_heavyArt10_name,tx_utn_heavyArt10_pname,HeavyArtillery_10,,icon_unit_SiegeGun,[0 0 0 0],0,0,vtt_unit_SiegeGun,[v_HeavyArtillery_10_sel01],[v_HeavyArtillery_10_com01 v_HeavyArtillery_10_com02],[v_HeavyArtillery_10_com01 v_HeavyArtillery_10_com02 v_HeavyArtillery_10_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch10Attack],All
HeavyArtilleryUpgradeEpoch11,HeavyArtillery,"""Unit""",11,340,13,290,16,10,80,0,900,400,210,0,0,0,700,0,tx_utn_heavyArt10_name,tx_utn_heavyArt10_pname,HeavyArtillery_11,,icon_unit_Howitzer11,[0 0 0 0],0,0,vtt_unit_SiegeGun,[v_HeavyArtillery_10_sel01],[v_HeavyArtillery_10_com01 v_HeavyArtillery_10_com02],[v_HeavyArtillery_10_com01 v_HeavyArtillery_10_com02 v_HeavyArtillery_10_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch11Attack],All
HeavyArtilleryUpgradeEpoch12,HeavyArtillery,"""Unit""",12,500,14,400,17,10,80,0,900,400,210,0,0,0,700,0,tx_utn_heavyArt12_name,tx_utn_heavyArt12_pname,HeavyArtillery_12,,icon_unit_selfpropelled,[0 0 0 0],0,0,vtt_unit_SelfPropelledArtillery,[v_HeavyArtillery_12_sel01],[v_HeavyArtillery_12_com01 v_HeavyArtillery_12_com02],[v_HeavyArtillery_12_com01 v_HeavyArtillery_12_com02 v_HeavyArtillery_12_spe01],[],[HeavyArtillery_Improve_Reset HeavyArtilleryEpoch12Attack],All
