//NAME,WIDGET CLASS,ICON,BUTTONSTYLE,USER TYPE,MENU,FIRST ROW,LAST ROW,FIRST COLUMN,LAST COLUMN,C. TOOLTIP,V. TOOLTIP,UT ATTRIBUTES,IS SPECIAL CASE,CAN BE SABOTAGED,CMDSTR,AUTOCAST EFFECT,ARGSTRING
unit_power_fireAndManeuver,SpecialPowerButton,icon_unitpwr_fireAndManeuv,TwoStateRollover,,0,1,2,0,3,tt_power_FireAndManeuver,vtt_power_FireAndManeuver,,1,1,"""UIUnitCommand_SpecialPower FireAndManeuver""","""FireAndManeuver""",""""""
unit_power_rally,SpecialPowerButton,icon_unitpwr_rally,TwoStateRollover,,0,1,2,0,3,tt_power_Rally,vtt_power_Rally,,1,1,"""UIUnitCommand_SpecialPower Rally""","""Rally""",""""""

// spy powers,,,,,,,,,,,,,,,,,
unit_power_gatherIntel,SpecialPowerButton,icon_unitpwr_gatherIntel,TwoStateRollover,,0,1,1,0,0,tx_uarea_gatherIntel_name,tx_uarea_gatherIntel_desc,,1,1,"""UIUnitCommand_SpecialPower GatherIntelligence""","""GatherIntelligence""",""""""
unit_power_extraction,SpecialPowerButton,icon_unitpwr_extraction,TwoStateRollover,,0,2,2,0,0,tt_power_Extraction,vtt_power_Extraction,,1,1,"""UIUnitCommand_SpecialPower Extraction""","""Extraction""",""""""
unit_power_decontaminate,SpecialPowerButton,icon_unitpwr_decontaminate,TwoStateRollover,,0,1,1,2,2,tt_power_ToxicCleanup,vtt_power_ToxicCleanup,,1,1,"""UIUnitCommand_SpecialPower ToxicCleanup""","""ToxicCleanup""",""""""
unit_power_restore,SpecialPowerButton,icon_unitpwr_restore,TwoStateRollover,,0,1,1,1,1,tt_power_Restore,vtt_power_Restore,,1,1,"""UIUnitCommand_SpecialPower RestoreBuilding""","""RestoreBuilding""",""""""
unit_power_contaminate,SpecialPowerButton,icon_unitpwr_contaminate,TwoStateRollover,,0,2,2,2,2,tt_power_ToxicSpill,vtt_power_ToxicSpill,,1,1,"""UIUnitCommand_SpecialPower ToxicSpill ImprovedToxicSpill""","""ToxicSpill ImprovedToxicSpill""",""""""
unit_power_sabotage,SpecialPowerButton,icon_unitpwr_sabotage,TwoStateRollover,,0,2,2,1,1,tt_power_Sabotage,vtt_power_Sabotage,,1,1,"""UIUnitCommand_SpecialPower SabotageBuilding ImprovedSabotageBuilding""","""SabotageBuilding ImprovedSabotageBuilding""",""""""
unit_power_sabotageUnique,SpecialPowerButton,icon_unitpwr_sabotage,TwoStateRollover,,0,2,2,1,1,tt_power_Sabotage,vtt_power_Sabotage,,1,1,"""UIUnitCommand_SpecialPower SabotageBuildingUnique""","""SabotageBuildingUnique""",""""""

unit_power_endeavor,SpecialPowerButton,icon_unitpwr_endeavor,TwoStateRollover,,0,1,2,0,3,tt_power_Endeavor,vtt_power_Endeavor,,1,1,"""UIUnitCommand_SpecialPower Endeavor""","""Endeavor""",""""""
unit_power_fastTrack,SpecialPowerButton,icon_unitpwr_fastTrack,TwoStateRollover,,0,1,2,0,3,tt_power_FastTracking,vtt_power_FastTracking,,1,1,"""UIUnitCommand_SpecialPower FastTracking""","""FastTracking""",""""""
unit_power_capitalism,SpecialPowerButton,icon_unitpwr_capitalism,TwoStateRollover,,0,1,2,0,3,text_larea_capitalism_name,text_larea_capitalism_desc,,1,1,"""UIUnitCommand_SpecialPower Capitalism""",,""""""
unit_power_forinvest,SpecialPowerButton,icon_unitpwr_foreignInvest,TwoStateRollover,,0,1,2,0,3,text_larea_forInvest_name,text_larea_forInvest_desc,,1,1,"""UIUnitCommand_SpecialPower ForeignInvestment""",,""""""
unit_power_mobilize,SpecialPowerButton,icon_unitpwr_mobilize,TwoStateRollover,,0,1,2,0,3,text_larea_mobilize_name,text_larea_mobilize_desc,,1,1,"""UIUnitCommand_SpecialPower Mobilization""","""Mobilization""",""""""
unit_power_imperialism,SpecialPowerButton,icon_unitpwr_imperialism,TwoStateRollover,,0,1,2,0,3,text_larea_imperial_name,text_larea_imperial_desc,,1,1,"""UIUnitCommand_SpecialPower Imperialism""","""Imperialism""",""""""
unit_power_diversion,SpecialPowerButton,icon_unitpwr_diversion,TwoStateRollover,,0,1,2,0,3,text_larea_diversion_name,text_larea_diversion_desc,,1,1,"""UIUnitCommand_SpecialPower Diversion""","""Diversion""",""""""

// airport/aircraft carrier buttons,,,,,,,,,,,,,,,,,
unit_airmission_set,BasicButton,icon_airmission_mission,TwoStateRollover,,0,0,1,0,0,tt_airmission_mission,vtt_airmission_mission,CanHaveAirmissionFlag,1,1,"""UIUnitCommand_AirMissionSet""",,""""""
unit_airmission_launch,AirmissionLaunchButton,icon_airmission_launch,TwoStateRollover,,0,0,1,2,2,tt_airmission_launch,vtt_airmission_launch,GarrisonAircraftHosts,0,1,"""UIUnitCommand_AirMissionLaunch""","""launchAirplanes""",""""""
unit_airmission_returnToBase,AirmissionReturnToBaseButton,icon_airmission_returnToBase,TwoStateRollover,,0,0,1,3,3,tt_airmission_returnToBase,vtt_airmission_returnToBase,GarrisonAircraftHosts,0,1,"""UIUnitCommand_AirMissionReturn""",,""""""
unit_airmission_scramble,BasicButton,icon_airmission_scramble,TwoStateRollover,,0,0,1,1,1,tt_airmission_scramble,vtt_airmission_scramble,GarrisonAircraftHosts,0,1,"""UIUnitCommand_Ungarrison""",,""""""
unit_airmission_cancel,AirmissionCancelButton,icon_airmission_cancel,TwoStateRollover,,0,1,2,0,1,tt_airmission_cancel,vtt_airmission_cancel,CanHaveAirmissionFlag,1,1,"""UIUnitCommand_AirMissionCancel""",,""""""
unit_airplane_returnToBase,AirplaneReturnToBaseButton,icon_airmission_returnToBase,TwoStateRollover,,0,2,2,3,3,tt_airplane_returnToBase,vtt_airplane_returnToBase,,1,1,"""UIUnitCommand_AirMissionReturn""",,""""""

// electronic warfare herc - anti-missile system,,,,,,,,,,,,,,,,,
unit_power_WW15antimissile,SpecialPowerButton,icon_unitpwr_antimissile,TwoStateRollover,,0,1,2,0,3,tt_power_antimissile,vtt_power_antimissile,ElecWarfareHercs,0,1,"""UIUnitCommand_SpecialPower Plane_AntiMissileSystem""","""Plane_AntiMissileSystem""",""""""
unit_power_antimissile,SpecialPowerButton,icon_unitpwr_antimissile,TwoStateRollover,,0,1,2,0,3,tt_power_antimissile,vtt_power_antimissile,ElecWarfareHercs,0,1,"""UIUnitCommand_SpecialPower HERC_AntiMissileSystem""","""HERC_AntiMissileSystem""",""""""
unit_power_awacontroler,SpecialPowerButton,icon_unitpwr_antimissile,TwoStateRollover,,0,1,2,0,3,tt_power_awacontroler,vtt_power_awacontroler,AwacEplans,0,0,"""UIUnitCommand_SpecialPower Awace_PowerControler""","""Awace_PowerControler""",""""""
unit_power_air_antimissle,SpecialPowerButton,icon_unitpwr_diversion,TwoStateRollover,,0,1,2,0,3,tt_power_airanmissile,vtt_power_airanmissile,,0,0,"""UIUnitCommand_SpecialPower Air_anti_missle""","""Air_anti_missle""",""""""
unit_power_ThrowGrenade,SpecialPowerButton,icon_unitpwr_ThrowGrenade,TwoStateRollover,,0,1,2,0,3,tt_power_ThrowGrenade,vtt_power_ThrowGrenade,,0,0,"""UIUnitCommand_SpecialPower ThrowGrenade""","""ThrowGrenade""",""""""
unit_power_air_stealthing,SpecialPowerButton,icon_unit_air_stealthing,TwoStateRollover,,0,1,3,3,3,tt_power_stealth_Button,vtt_power_stealth_effects,,0,0,"""UIUnitCommand_SpecialPower Stealthing""","""Stealthing""",""""""
unit_power_deadlyMiss,SpecialPowerButton,icon_unitpwr_deadlyAim,TwoStateRollover,,0,1,2,0,3,tt_power_deadaim,vtt_power_deadaim,,0,0,"""UIUnitCommand_SpecialPower Deadly_Miss""","""Deadly_Miss""",""""""
unit_power_ChangeMiss,SpecialPowerButton,icon_unitpwr_VLS,TwoStateRollover,,0,1,2,0,3,tt_power_VLS,vtt_power_VLS,,0,0,"""UIUnitCommand_SpecialPower Change_Miss""","""Change_Miss""",""""""
unit_power_changeAirShell,SpecialPowerButton,icon_unitpwr_AirShell,TwoStateRollover,,0,1,2,0,3,tt_power_airdefend,vtt_power_airdefend,,0,0,"""UIUnitCommand_SpecialPower chang_AirShell""","""chang_AirShell""",""""""
unit_power_shipawacontroler,SpecialPowerButton,icon_unitpwr_antimissile,TwoStateRollover,,0,1,2,0,3,tt_power_awacontroler,vtt_power_awacontroler,,0,0,"""UIUnitCommand_SpecialPower Awace_PowerforshipControler""","""Awace_PowerforshipControler""",""""""
unit_AIResourcePowercontroler,SpecialPowerButton,icon_unitpwr_antimissile,TwoStateRollover,,0,1,3,3,3,tt_power_awacontroler,vtt_power_awacontroler,,0,0,"""UIUnitCommand_SpecialPower AIResourcePower""","""AIResourcePower""",""""""
unit_power_Unitcontroler,SpecialPowerButton,icon_unitpwr_antimissile,TwoStateRollover,,0,1,3,3,3,tt_power_awacontroler,vtt_power_awacontroler,,0,0,"""UIUnitCommand_SpecialPower UnitsPower""","""UnitsPower""",""""""
unit_power_Resourcecontroler,SpecialPowerButton,icon_unitpwr_antimissile,TwoStateRollover,,0,1,3,3,3,tt_power_awacontroler,vtt_power_awacontroler,,0,0,"""UIUnitCommand_SpecialPower UnitsResourcePower""","""UnitsResourcePower""",""""""
unit_power_ChangeRange,SpecialPowerButton,icon_unit_warfactory,TwoStateRollover,,0,3,1,2,0,tt_power_ChangeRange,vtt_power_ChangeRange,,0,0,"""UIUnitCommand_SpecialPower Change_Range""","""Change_Range""",""""""
unit_power_ChangedapaoRange,SpecialPowerButton,icon_unit_warfactory,TwoStateRollover,,0,3,1,2,0,tt_power_ChangeRange,vtt_power_ChangeRange,,0,0,"""UIUnitCommand_SpecialPower Change_dapaoRange""","""Change_dapaoRange""",""""""
unit_power_SubmarineDiveing,SpecialPowerButton,icon_unit_Submarinediveing,TwoStateRollover,,0,1,2,0,3,tt_power_SubmarineDiveing,vtt_power_SubmarineDiveing,,0,0,"""UIUnitCommand_SpecialPower SubmarineDiveing""","""SubmarineDiveing""",""""""
unit_power_Radardetectioning,SpecialPowerButton,icon_unit_air_stealthing,TwoStateRollover,,0,1,3,3,3,tt_power_Radardetectioning,vtt_power_Radardetectioning,,0,0,"""UIUnitCommand_SpecialPower Radardetectioning""","""Radardetectioning""",""""""
// repair herc - shield,,,,,,,,,,,,,,,,,
unit_power_shield,SpecialPowerButton,icon_unitpwr_shield,TwoStateRollover,,0,1,2,0,3,tt_power_shield,vtt_power_shield,RepairHercs,0,1,"""UIUnitCommand_SpecialPower HERC_Shield""","""HERC_Shield""",""""""

// name city,,,,,,,,,,,,,,,,,
